2023-09-12-03-39: 
2023-09-12-03-39: epoch: 0 |lr: [5e-05] |train/supervised_loss: 0.27799252|train/bone_loss: 0.06323311|train/total_loss: 0.34122563|
2023-09-12-03-39: epoch: 1 |lr: [0.000581543624161074] |train/supervised_loss: 0.23516309|train/bone_loss: 0.04242098|train/total_loss: 0.27758407|
2023-09-12-03-39: epoch: 2 |lr: [0.0010798657718120806] |train/supervised_loss: 0.20418985|train/bone_loss: 0.02549193|train/total_loss: 0.22968178|
2023-09-12-03-39: epoch: 3 |lr: [0.001578187919463086] |train/supervised_loss: 0.17553332|train/bone_loss: 0.02726478|train/total_loss: 0.2027981|
2023-09-12-03-39: epoch: 4 |lr: [0.0020765100671140914] |train/supervised_loss: 0.14059428|train/bone_loss: 0.02794867|train/total_loss: 0.16854295|
2023-09-12-03-39: epoch: 5 |lr: [0.0025748322147650968] |train/supervised_loss: 0.09845914|train/bone_loss: 0.02506411|train/total_loss: 0.12352325|
2023-09-12-03-39: epoch: 6 |lr: [0.003073154362416102] |train/supervised_loss: 0.06118089|train/bone_loss: 0.01961148|train/total_loss: 0.08079237|
2023-09-12-03-39: epoch: 7 |lr: [0.0035714765100671076] |train/supervised_loss: 0.03374359|train/bone_loss: 0.01516682|train/total_loss: 0.0489104|
2023-09-12-03-39: epoch: 8 |lr: [0.004069798657718115] |train/supervised_loss: 0.01622486|train/bone_loss: 0.01039276|train/total_loss: 0.02661762|
2023-09-12-03-39: epoch: 9 |lr: [0.004568120805369127] |train/supervised_loss: 0.00804175|train/bone_loss: 0.00712621|train/total_loss: 0.01516796|
2023-09-12-03-39: epoch: 10 |lr: [0.005] |train/supervised_loss: 0.00458706|train/bone_loss: 0.00637389|train/total_loss: 0.01096095|
2023-09-12-03-39: epoch: 11 |lr: [0.004999985790128491] |train/supervised_loss: 0.003277|train/bone_loss: 0.00612791|train/total_loss: 0.00940491|
2023-09-12-03-39: epoch: 12 |lr: [0.0049999463494845246] |train/supervised_loss: 0.00247124|train/bone_loss: 0.00605238|train/total_loss: 0.00852362|
2023-09-12-03-39: epoch: 13 |lr: [0.004999881734409701] |train/supervised_loss: 0.0020026|train/bone_loss: 0.00596891|train/total_loss: 0.00797151|
2023-09-12-03-39: epoch: 14 |lr: [0.004999791945554695] |train/supervised_loss: 0.00171821|train/bone_loss: 0.00593284|train/total_loss: 0.00765106|
2023-09-12-03-39: epoch: 15 |lr: [0.004999676983823677] |train/supervised_loss: 0.00151483|train/bone_loss: 0.00589483|train/total_loss: 0.00740966|
2023-09-12-03-39: epoch: 16 |lr: [0.004999536850374305] |train/supervised_loss: 0.00137368|train/bone_loss: 0.00588556|train/total_loss: 0.00725924|
2023-09-12-03-39: epoch: 17 |lr: [0.004999371546617728] |train/supervised_loss: 0.00122297|train/bone_loss: 0.00587134|train/total_loss: 0.00709432|
2023-09-12-03-39: epoch: 18 |lr: [0.004999181074218552] |train/supervised_loss: 0.00111286|train/bone_loss: 0.00585122|train/total_loss: 0.00696408|
2023-09-12-03-39: epoch: 19 |lr: [0.004998965435094834] |train/supervised_loss: 0.00103418|train/bone_loss: 0.00584117|train/total_loss: 0.00687534|
2023-09-12-03-39: epoch: 20 |lr: [0.004998724631418053] |train/supervised_loss: 0.00096958|train/bone_loss: 0.00582723|train/total_loss: 0.00679681|
2023-09-12-03-39: epoch: 21 |lr: [0.004998458665613101] |train/supervised_loss: 0.00090565|train/bone_loss: 0.00581468|train/total_loss: 0.00672033|
2023-09-12-03-39: epoch: 22 |lr: [0.004998167540358253] |train/supervised_loss: 0.00086399|train/bone_loss: 0.00581745|train/total_loss: 0.00668144|
2023-09-12-03-39: epoch: 23 |lr: [0.0049978512585851335] |train/supervised_loss: 0.00081279|train/bone_loss: 0.0058157|train/total_loss: 0.00662848|
2023-09-12-03-39: epoch: 24 |lr: [0.004997509823478699] |train/supervised_loss: 0.00076958|train/bone_loss: 0.00580476|train/total_loss: 0.00657433|
2023-09-12-03-39: epoch: 25 |lr: [0.004997143238477197] |train/supervised_loss: 0.00074204|train/bone_loss: 0.00579807|train/total_loss: 0.00654011|
2023-09-12-03-39: epoch: 26 |lr: [0.004996751507272131] |train/supervised_loss: 0.00070797|train/bone_loss: 0.00580035|train/total_loss: 0.00650832|
2023-09-12-03-39: epoch: 27 |lr: [0.004996334633808234] |train/supervised_loss: 0.0006871|train/bone_loss: 0.00579915|train/total_loss: 0.00648624|
2023-09-12-03-39: epoch: 28 |lr: [0.004995892622283417] |train/supervised_loss: 0.00067582|train/bone_loss: 0.00578509|train/total_loss: 0.0064609|
2023-09-12-03-39: epoch: 29 |lr: [0.004995425477148728] |train/supervised_loss: 0.00064629|train/bone_loss: 0.00578932|train/total_loss: 0.00643561|
2023-09-12-03-39: epoch: 30 |lr: [0.004994933203108316] |train/supervised_loss: 0.00062341|train/bone_loss: 0.00576017|train/total_loss: 0.00638358|
2023-09-12-03-39: epoch: 31 |lr: [0.004994415805119376] |train/supervised_loss: 0.00060214|train/bone_loss: 0.00576768|train/total_loss: 0.00636982|
2023-09-12-03-39: epoch: 32 |lr: [0.004993873288392096] |train/supervised_loss: 0.00059407|train/bone_loss: 0.00577298|train/total_loss: 0.00636705|
2023-09-12-03-39: epoch: 33 |lr: [0.004993305658389615] |train/supervised_loss: 0.0005753|train/bone_loss: 0.00577587|train/total_loss: 0.00635118|
2023-09-12-03-39: epoch: 34 |lr: [0.004992712920827963] |train/supervised_loss: 0.00056332|train/bone_loss: 0.00577819|train/total_loss: 0.00634151|
2023-09-12-03-39: epoch: 35 |lr: [0.0049920950816759995] |train/supervised_loss: 0.0005496|train/bone_loss: 0.00577506|train/total_loss: 0.00632467|
2023-09-12-03-39: epoch: 36 |lr: [0.004991452147155355] |train/supervised_loss: 0.00053416|train/bone_loss: 0.00577883|train/total_loss: 0.00631299|
2023-09-12-03-39: epoch: 37 |lr: [0.004990784123740377] |train/supervised_loss: 0.00052529|train/bone_loss: 0.00577711|train/total_loss: 0.0063024|
2023-09-12-03-39: epoch: 38 |lr: [0.004990091018158055] |train/supervised_loss: 0.00051671|train/bone_loss: 0.00577535|train/total_loss: 0.00629206|
2023-09-12-03-39: epoch: 39 |lr: [0.00498937283738795] |train/supervised_loss: 0.00051493|train/bone_loss: 0.00576228|train/total_loss: 0.00627721|
